Category,Topic,Studied? (Y/N),Confidence (1-3),Notes,Yield (MCQ+OSCE),UK Notes Coverage (est.),If gap: suggested resource
Renal & Urology,Chronic kidney disease,,,,High,Likely covered,
Renal & Urology,Common behavioural disturbances including ADHD & Autism,,,,Medium,Unlikely covered,Zero to Finals - Renal / Urology
Renal & Urology,Congenital adrenal hyperplasia,,,,Medium,Likely covered,
Renal & Urology,Cystitis,,,,High,Likely covered,
Renal & Urology,Developmental milestones,,,,High,Likely covered,
Renal & Urology,Disorders of micturition,,,,Low,Unlikely covered,Zero to Finals - Renal / Urology
Renal & Urology,Dysuria,,,,Low,Likely covered,
Renal & Urology,Epididymo-orchitis (males),,,,Low,Likely covered,
Renal & Urology,Erectile dysfunction,,,,High,Likely covered,
Renal & Urology,Faecal incontinence,,,,Medium,Likely covered,
Renal & Urology,Glomerulonephritis,,,,High,Likely covered,
Renal & Urology,Groin swelling or pain,,,,Medium,Partially covered,Zero to Finals - Renal / Urology
Renal & Urology,Haematuria,,,,Low,Likely covered,
Renal & Urology,Hirsutism,,,,Low,Unlikely covered,Zero to Finals - Renal / Urology
Renal & Urology,INCONTINENCE Urge Incontinence,,,,Medium,Likely covered,
Renal & Urology,Incontinence,,,,High,Likely covered,
Renal & Urology,Kidney MALIGNANCY,,,,High,Likely covered,
Renal & Urology,"Men’s health including impotence, prostate diseases",,,,Low,Partially covered,Zero to Finals - Renal / Urology
Renal & Urology,Nephritic syndrome,,,,Low,Unlikely covered,Zero to Finals - Renal / Urology
Renal & Urology,Nephrotic Syndrome,,,,High,Likely covered,
Renal & Urology,Polycystic kidney disease,,,,High,Likely covered,
Renal & Urology,Prostate (in males MALIGNANCY,,,,Low,Partially covered,Zero to Finals - Renal / Urology
Renal & Urology,Prostate cancer,,,,High,Likely covered,
Renal & Urology,Prostatitis (males),,,,High,Likely covered,
Renal & Urology,Pyelonephritis,,,,High,Likely covered,
Renal & Urology,Renal Calculus,,,,High,Likely covered,
Renal & Urology,"Renal Disease in childhood: GN, VUR",,,,Medium,Partially covered,Zero to Finals - Renal / Urology
Renal & Urology,Renal and bladder ultrasound,,,,Medium,Likely covered,
Renal & Urology,Renal cell carcinoma,,,,High,Likely covered,
Renal & Urology,Renal colic,,,,High,Likely covered,
Renal & Urology,Renal stones,,,,High,Likely covered,
Renal & Urology,Renal transplantation,,,,High,Likely covered,
Renal & Urology,Scrotal swelling or pain,,,,High,Partially covered,Zero to Finals - Renal / Urology
Renal & Urology,Stress Incontinence,,,,High,Likely covered,
Renal & Urology,Testicular Torsion,,,,High,Likely covered,
Renal & Urology,Testicular cancer,,,,High,Likely covered,
Renal & Urology,Torsion of testis,,,,High,Likely covered,
Renal & Urology,Trauma e.g. urethral injury,,,,High,Likely covered,
Renal & Urology,UTI,,,,High,Likely covered,
Renal & Urology,Urinary Symptom - Incontinence,,,,Medium,Likely covered,
Renal & Urology,Urinary Symptom – Dysuria and frequency,,,,Medium,Likely covered,
Renal & Urology,Urinary Symptom- Voiding difficulties,,,,Medium,Partially covered,Zero to Finals - Renal / Urology
Renal & Urology,Urinary Symptom– Nocturia,,,,Medium,Likely covered,
Renal & Urology,Urinary Symptom– Oliguria and anuria,,,,Medium,Likely covered,
Renal & Urology,Urinary Symptom– Polyuria,,,,Medium,Partially covered,Zero to Finals - Renal / Urology
Renal & Urology,Urinary Symptom– Proteinuria,,,,Medium,Likely covered,
Renal & Urology,Urinary retention,,,,Medium,Likely covered,
Renal & Urology,Urinary tract infection,,,,High,Likely covered,
Renal & Urology,Urinary tract infection and pyelonephritis,,,,High,Likely covered,
Renal & Urology,Urinary tract stone,,,,Medium,Likely covered,
Renal & Urology,Urine MC&S,,,,High,Unlikely covered,Zero to Finals - Renal / Urology
Renal & Urology,Urine protein/creatinine ratio (pre-eclampsia),,,,High,Partially covered,Zero to Finals - Renal / Urology
Renal & Urology,Urine/blood tox screen,,,,Medium,Partially covered,Zero to Finals - Renal / Urology
Paediatrics,(paediatrics) Fracture,,,,High,Likely covered,
Paediatrics,Adolescent health care incl - HEADSS,,,,Medium,Partially covered,Zero to Finals - Paediatrics
Paediatrics,Approach to Paediatric Examination,,,,Medium,Partially covered,Zero to Finals - Paediatrics
Paediatrics,Behavioural problem (adult and child),,,,Medium,Partially covered,Zero to Finals - Paediatrics
Paediatrics,Cerebral palsy,,,,Medium,Likely covered,
Paediatrics,Chickenpox,,,,Medium,Likely covered,
Paediatrics,Child abuse and protection,,,,High,Partially covered,Zero to Finals - Paediatrics
Paediatrics,Common Childhood injuries,,,,Medium,Likely covered,
Paediatrics,Developmental delay in child,,,,High,Likely covered,
Paediatrics,Developmental screening and assessment,,,,High,Partially covered,Zero to Finals - Paediatrics
Paediatrics,Enuresis and Encopresis,,,,Medium,Unlikely covered,Zero to Finals - Paediatrics
Paediatrics,Exanthems of childhood,,,,Medium,Likely covered,
Paediatrics,Febrile convulsion,,,,High,Unlikely covered,Zero to Finals - Paediatrics
Paediatrics,Growth Failure,,,,High,Likely covered,
Paediatrics,Growth and abnormal growth incl: Short/Tall Stature,,,,Low,Likely covered,
Paediatrics,Growth charts / percentile interpretation,,,,Medium,Likely covered,
Paediatrics,"Hand, Foot and Mouth disease",,,,Medium,Likely covered,
Paediatrics,Henoch-Schölnein Purpura,,,,Medium,Likely covered,
Paediatrics,Irritable infant,,,,Medium,Likely covered,
Paediatrics,"Neonate: Resp Distress, Jaundice, Hypoglycaemia & Infection",,,,High,Likely covered,
Paediatrics,"Paediatric Infections: bone & joint, meningitis, fever of unknown origin (UTI, LRTI see below)",,,,High,Likely covered,
Paediatrics,"Paediatric Orthopaedics: Irritable Hip, Perthe’s, SCFE, Postural Changes (Bow Legs, Knock Knees, Flat Feet, Scoliosis)",,,,Medium,Likely covered,
Paediatrics,"Paediatric hip disorders e.g. developmental dysplasia of the hip, Perthes disease, slipped capital femoral epiphysis",,,,High,Likely covered,
Paediatrics,Proximal Radio-ulnar (paediatric) DISLOCATIONS,,,,Medium,Unlikely covered,Zero to Finals - Paediatrics
Paediatrics,"Quick revisit of bloods/imaging as they present differently in kids (e.g. paeds CXR, paeds fever workup using bloods/cultures you already know)",,,,Medium,Likely covered,
Paediatrics,Rash in infancy and childhood,,,,Medium,Likely covered,
Paediatrics,Sick’ Child: Recognition & Management,,,,Medium,Partially covered,Zero to Finals - Paediatrics
Paediatrics,Sudden Infant Death Syndrome,,,,Medium,Likely covered,
Paediatrics,The atopic child,,,,High,Unlikely covered,Zero to Finals - Paediatrics
Paediatrics,septal defects,,,,Medium,Likely covered,
Paediatrics,tetralogy of Fallot,,,,Medium,Likely covered,
Haematology,Acute and chronic leukaemia,,,,Low,Likely covered,
Haematology,Anaemia,,,,High,Likely covered,
Haematology,Anaemia in childhood,,,,High,Likely covered,
Haematology,Bleeding disorders,,,,High,Likely covered,
Haematology,Blood and blood products transfusion,,,,Medium,Likely covered,
Haematology,Cancer screen and tumour marker,,,,Medium,Likely covered,
Haematology,Cancer/tumour markers,,,,Medium,Likely covered,
Haematology,Coags + D-dimer (added),,,,Low,Unlikely covered,Zero to Finals - Haematology
Haematology,Consent for blood transfusion,,,,High,Likely covered,
Haematology,Fatigue,,,,Low,Likely covered,
Haematology,Haemochromatosis,,,,Low,Likely covered,
Haematology,"Iron markers, B12/Folate (added)",,,,Medium,Unlikely covered,Zero to Finals - Haematology
Haematology,Lymphadenopathy (generalised and local),,,,Medium,Partially covered,Zero to Finals - Haematology
Haematology,Malignancy with metastases to bone,,,,Medium,Likely covered,
Haematology,Metastases from other organs,,,,Medium,Partially covered,Zero to Finals - Haematology
Haematology,Pallor,,,,Low,Likely covered,
Haematology,Platelets disorders (ITP),,,,Low,Likely covered,
Haematology,Postpartum infection and Thromboembolism,,,,High,Partially covered,Zero to Finals - Haematology
Haematology,Thalassemia (alpha and beta),,,,Medium,Unlikely covered,Zero to Finals - Haematology
Haematology,"Thrombophilia, venous thrombo embolism (VTE)",,,,Medium,Likely covered,
Haematology,White blood cell disorders (febrile neutropenia),,,,Medium,Partially covered,Zero to Finals - Haematology
"Public Health, Epidemiology, Statistics, Research (NEW)","Absolute vs relative risk reduction, NNT",,,,High,N/A - new category,Students 4 Best Evidence (s4be.org) - free condensed EBM/stats primer
"Public Health, Epidemiology, Statistics, Research (NEW)",Notifiable diseases & public health reporting,,,,High,N/A - new category,Students 4 Best Evidence (s4be.org) - free condensed EBM/stats primer
"Public Health, Epidemiology, Statistics, Research (NEW)",Screening programme principles,,,,Medium,N/A - new category,Students 4 Best Evidence (s4be.org) - free condensed EBM/stats primer
"Public Health, Epidemiology, Statistics, Research (NEW)","Sensitivity, specificity, PPV/NPV interpretation",,,,High,N/A - new category,Students 4 Best Evidence (s4be.org) - free condensed EBM/stats primer
"Public Health, Epidemiology, Statistics, Research (NEW)","Study design types (cohort, case-control, RCT, case series) & sources of bias",,,,Medium,N/A - new category,Students 4 Best Evidence (s4be.org) - free condensed EBM/stats primer
"Public Health, Epidemiology, Statistics, Research (NEW)",p-values & statistical significance interpretation,,,,Medium,N/A - new category,Students 4 Best Evidence (s4be.org) - free condensed EBM/stats primer
Dermatology,Acne vulgaris,,,,Low,Likely covered,
Dermatology,Atopic dermatitis,,,,Medium,Unlikely covered,DermNet NZ (dermnetnz.org)
Dermatology,Basal cell carcinoma (BCC),,,,High,Likely covered,
Dermatology,Bullous pemphigoid,,,,Low,Likely covered,
Dermatology,Eczema herpeticum*,,,,Medium,Likely covered,
Dermatology,"Eczema, dermatitis",,,,Medium,Likely covered,
Dermatology,Erythema multiforme,,,,Low,Likely covered,
Dermatology,Erythema nodosum,,,,Low,Likely covered,
Dermatology,Erythroderma*,,,,Low,Unlikely covered,DermNet NZ (dermnetnz.org)
Dermatology,Head lice,,,,Low,Likely covered,
Dermatology,Impetigo,,,,Low,Likely covered,
Dermatology,Itch (generalised and local),,,,Medium,Partially covered,DermNet NZ (dermnetnz.org)
Dermatology,Lichen planus,,,,Low,Unlikely covered,DermNet NZ (dermnetnz.org)
Dermatology,Malignant melanoma of the skin,,,,High,Likely covered,
Dermatology,Molluscum contagiosum,,,,Low,Likely covered,
Dermatology,Non-blanching rashes,,,,Medium,Partially covered,DermNet NZ (dermnetnz.org)
Dermatology,Pemphigus,,,,Low,Likely covered,
Dermatology,Pityriasis rosea,,,,Low,Likely covered,
Dermatology,Pruritus,,,,Low,Likely covered,
Dermatology,Psoriasis,,,,High,Likely covered,
Dermatology,Rash,,,,Medium,Likely covered,
Dermatology,Ringworm,,,,Low,Likely covered,
Dermatology,Scabies,,,,Medium,Likely covered,
Dermatology,Seborrhoeic dermatitis,,,,Medium,Likely covered,
Dermatology,Skin and soft tissue surgery including skin cancers,,,,Low,Likely covered,
Dermatology,"Skin cancers (SCC, BCC, Melanoma)",,,,Medium,Likely covered,
Dermatology,Skin lesions,,,,Medium,Likely covered,
Dermatology,Squamous cell carcinoma (SCC),,,,High,Likely covered,
Dermatology,Steven–Johnson syndrome (SJS)*,,,,Low,Likely covered,
Dermatology,Toxic epidermal necrolysis (TEN),,,,Low,Likely covered,
ENT,Acute Labrynthitis,,,,Low,Unlikely covered,Zero to Finals - ENT
ENT,Acute otitis externa,,,,Medium,Likely covered,
ENT,Acute otitis media and sequelae,,,,Medium,Likely covered,
ENT,Biceps femoris (Hamstring) TEARS,,,,Low,Partially covered,Zero to Finals - ENT
ENT,ECG (start early — it takes repeated exposure to get fluent),,,,Low,Likely covered,
ENT,Ear pain and/or discharge,,,,Medium,Partially covered,Zero to Finals - ENT
ENT,Epiglottitis,,,,Low,Likely covered,
ENT,Epistaxis,,,,Medium,Likely covered,
ENT,"FBC, UEC, LFTs — the ""core bloods"" you'll see in nearly every case",,,,Low,Unlikely covered,Zero to Finals - ENT
ENT,Hearing Impairment,,,,Medium,Likely covered,
ENT,Laryngitis,,,,Low,Unlikely covered,Zero to Finals - ENT
ENT,Meniere's,,,,Low,Likely covered,
ENT,Pharyngitis,,,,Medium,Unlikely covered,Zero to Finals - ENT
ENT,Sick Sinus Syndrome,,,,Low,Likely covered,
ENT,Snoring,,,,Low,Likely covered,
ENT,"Throat – Pain, mass",,,,Medium,Partially covered,Zero to Finals - ENT
ENT,Tinnitus,,,,Low,Likely covered,
ENT,Upper airway obstruction,,,,Medium,Partially covered,Zero to Finals - ENT
ENT,Vestibular schwannoma,,,,Low,Likely covered,
ENT,meniscal tear,,,,Low,Unlikely covered,Zero to Finals - ENT
Ophthalmology,Acute Glaucoma,,,,Medium,Likely covered,
Ophthalmology,Acute angle closure glaucoma,,,,Medium,Likely covered,
Ophthalmology,Age-related Macular Degeneration,,,,Low,Likely covered,
Ophthalmology,Amblyopia,,,,Low,Unlikely covered,"Zero to Finals - Ophthalmology, or Eye Rounds (webeyerounds)"
Ophthalmology,Ametropia,,,,Low,Unlikely covered,"Zero to Finals - Ophthalmology, or Eye Rounds (webeyerounds)"
Ophthalmology,Anisocoria,,,,Low,Unlikely covered,"Zero to Finals - Ophthalmology, or Eye Rounds (webeyerounds)"
Ophthalmology,Anterior uveitis,,,,Low,Likely covered,
Ophthalmology,Cataracts,,,,Low,Likely covered,
Ophthalmology,Central Retinal Artery Occlusion,,,,Medium,Likely covered,
Ophthalmology,Chronic Glaucoma,,,,Medium,Likely covered,
Ophthalmology,Conjunctivitis,,,,Medium,Likely covered,
Ophthalmology,Corneal abrasions,,,,Low,Unlikely covered,"Zero to Finals - Ophthalmology, or Eye Rounds (webeyerounds)"
Ophthalmology,Diplopia,,,,Low,Unlikely covered,"Zero to Finals - Ophthalmology, or Eye Rounds (webeyerounds)"
Ophthalmology,Endopthalmitis,,,,Low,Unlikely covered,"Zero to Finals - Ophthalmology, or Eye Rounds (webeyerounds)"
Ophthalmology,Episcleritis,,,,Low,Likely covered,
Ophthalmology,Eye trauma,,,,Medium,Likely covered,
Ophthalmology,Eye- Painful eye,,,,Medium,Likely covered,
Ophthalmology,Eye- Red eye,,,,High,Likely covered,
Ophthalmology,Eye- Vision loss (acute and chronic),,,,Medium,Likely covered,
Ophthalmology,Eyelid disorders,,,,Low,Unlikely covered,"Zero to Finals - Ophthalmology, or Eye Rounds (webeyerounds)"
Ophthalmology,"Fundoscopy, Otoscopy",,,,Low,Unlikely covered,"Zero to Finals - Ophthalmology, or Eye Rounds (webeyerounds)"
Ophthalmology,Glaucoma,,,,Medium,Likely covered,
Ophthalmology,Hypertensive retinopathy,,,,Low,Likely covered,
Ophthalmology,Keratitis,,,,Low,Likely covered,
Ophthalmology,Optic neuritis,,,,Low,Likely covered,
Ophthalmology,Primary open-angle glaucoma,,,,Medium,Likely covered,
Ophthalmology,Retinal detachment,,,,Low,Likely covered,
Ophthalmology,Retinal vein occlusion,,,,Medium,Likely covered,
Ophthalmology,Retinitis pigmentosa,,,,Low,Unlikely covered,"Zero to Finals - Ophthalmology, or Eye Rounds (webeyerounds)"
Ophthalmology,Scleritis,,,,Low,Likely covered,
Ophthalmology,Strabismus,,,,Low,Likely covered,
Ophthalmology,Subconjunctival haemorrhage,,,,Medium,Likely covered,
Ophthalmology,Visual Disturbance,,,,Medium,Unlikely covered,"Zero to Finals - Ophthalmology, or Eye Rounds (webeyerounds)"
Ophthalmology,Visual field defects - eg hemianopias,,,,Low,Partially covered,"Zero to Finals - Ophthalmology, or Eye Rounds (webeyerounds)"
Clinical Process / EBM / Consent & Capacity (NEW),Capacity to consent / refuse treatment,,,,High,N/A - new category,AHPRA Good Medical Practice code
Clinical Process / EBM / Consent & Capacity (NEW),Clinical formulation / structured clinical reasoning,,,,Medium,N/A - new category,AHPRA Good Medical Practice code
"General Practice, Preventive Med, Ethics & Communication","Addressing ideas, concerns and expectations (ICE)",,,,Medium,Unlikely covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication",Assessment and Basic Management of Pain,,,,Medium,Partially covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication",Breaking bad news,,,,High,Unlikely covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication",Continuity of care,,,,High,Likely covered,
"General Practice, Preventive Med, Ethics & Communication",Counselling stations,,,,Medium,Likely covered,
"General Practice, Preventive Med, Ethics & Communication",Dealing with an inappropriate patient (e.g. a flirtatious patient),,,,Medium,Unlikely covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication",Discussing end-of-life care,,,,High,Likely covered,
"General Practice, Preventive Med, Ethics & Communication",Discussion/referral to specialities,,,,Medium,Unlikely covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication",Documenting in the medical notes,,,,Medium,Unlikely covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication",Domestic violence,,,,High,Unlikely covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication",Driving issues and fitness to drive,,,,Low,Partially covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication",Explaining a medical error (e.g. incorrect medication),,,,Medium,Unlikely covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication",Giving/receiving handover and prioritisation of jobs,,,,Medium,Unlikely covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication",Health promotion and patient education,,,,Medium,Partially covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication",Hospital avoidance,,,,Medium,Unlikely covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication",Immunisation,,,,High,Unlikely covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication",Initial diagnostic strategy/investigation for common presentations in General Practice,,,,Medium,Unlikely covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication",Key factors to consider when selecting the most appropriate medication,,,,Medium,Unlikely covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication",Life Style related Diseases (SNAP),,,,Medium,Partially covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication",Managing complaints (e.g. cancelled surgery),,,,Medium,Partially covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication",Mandatory reporting (Overall Skill),,,,Medium,Unlikely covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication",Motivational interviewing: stages of change model,,,,High,Unlikely covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication",Palliative care in community and end-of-life decision,,,,Medium,Likely covered,
"General Practice, Preventive Med, Ethics & Communication",Polypharmacy,,,,High,Unlikely covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication","Preventative medicine in General Practice including cancer screen, premature cardiovascular diseases, infections, diabetes, conditions occurring during pregnancy, genetic disorders, behavioural disorders, smoking cessation",,,,High,Likely covered,
"General Practice, Preventive Med, Ethics & Communication",Safeguarding (e.g explaining a safeguarding referral),,,,Medium,Unlikely covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication",Talking to angry patients or relatives,,,,Medium,Unlikely covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication","The family, families in crisis, significant presentations of family dysfunction",,,,Medium,Unlikely covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
"General Practice, Preventive Med, Ethics & Communication",Unique features of General practice,,,,Medium,Unlikely covered,Geeky Medics OSCE guides; RACGP curriculum / Murtagh's for AU-specific content
Obstetrics,"Abortion, hydatidiform mole, choriocarcinoma",,,,Low,Unlikely covered,Zero to Finals - Obstetrics
Obstetrics,"Abruptio placentae, placenta praevia",,,,Low,Likely covered,
Obstetrics,"Amniotic fluid disorders (e.g. oligohydramnios, polyhydramnios)",,,,Low,Likely covered,
Obstetrics,Antenatal and postnatal share care,,,,Medium,Likely covered,
Obstetrics,Antepartum haemorrhage (APH),,,,Medium,Partially covered,Zero to Finals - Obstetrics
Obstetrics,"Beta-hCG (serum) (added), Obstetric ultrasound, Fetal ultrasound",,,,Low,Unlikely covered,Zero to Finals - Obstetrics
Obstetrics,Birth asphyxia and resuscitation,,,,Low,Partially covered,Zero to Finals - Obstetrics
Obstetrics,Bleeding in early pregnancy,,,,Medium,Likely covered,
Obstetrics,Bleeding in late pregnancy,,,,Medium,Likely covered,
Obstetrics,Blood group & antibody screen (added),,,,Medium,Unlikely covered,Zero to Finals - Obstetrics
Obstetrics,Breech position,,,,Low,Likely covered,
Obstetrics,CTG,,,,Low,Unlikely covered,Zero to Finals - Obstetrics
Obstetrics,Caesarean section,,,,Low,Likely covered,
Obstetrics,Congenital birth defects,,,,Low,Partially covered,Zero to Finals - Obstetrics
Obstetrics,Cord prolapse,,,,Medium,Likely covered,
Obstetrics,Disorders of labour,,,,Medium,Likely covered,
Obstetrics,Ectopic Pregnancy,,,,High,Likely covered,
Obstetrics,"Foetal Distress (including CTG), dystocia, errors of polarity and presentations",,,,Low,Unlikely covered,Zero to Finals - Obstetrics
Obstetrics,Group B strep swab,,,,Low,Likely covered,
Obstetrics,Growth restriction and monitor,,,,Low,Unlikely covered,Zero to Finals - Obstetrics
Obstetrics,Labour – analgesia & anaesthesia,,,,Low,Partially covered,Zero to Finals - Obstetrics
Obstetrics,"Medical disorders in pregnancy – endocrine, asthma, hypertension, anaemia, thromboembolism, UTI and other infections",,,,Medium,Likely covered,
Obstetrics,Miscarriage,,,,Medium,Likely covered,
Obstetrics,Nausea and vomiting in pregnancy,,,,Medium,Likely covered,
Obstetrics,Newborn examination and screening,,,,Medium,Partially covered,Zero to Finals - Obstetrics
Obstetrics,"Normal Labour, mechanism & conduct of birth",,,,Low,Partially covered,Zero to Finals - Obstetrics
Obstetrics,"Normal pregnancy including diagnosis and antenatal care, including dating and screening",,,,Medium,Partially covered,Zero to Finals - Obstetrics
Obstetrics,Other medical disorders in pregnancy eg epilepsy,,,,Medium,Partially covered,Zero to Finals - Obstetrics
Obstetrics,"Placental disorders (e.g. placenta praevia, placental abruption, placenta accreta)",,,,Low,Likely covered,
Obstetrics,Post Partum Hemmorage,,,,Medium,Partially covered,Zero to Finals - Obstetrics
Obstetrics,Postnatal blues (‘baby blues’),,,,Low,Partially covered,Zero to Finals - Obstetrics
Obstetrics,Postpartum Breast Conditions & Lactation Issues,,,,Medium,Partially covered,Zero to Finals - Obstetrics
Obstetrics,Postpartum Haemorrhage,,,,High,Likely covered,
Obstetrics,Preeclampsia and eclampsia,,,,Medium,Likely covered,
Obstetrics,"Preterm birth (complications, morbidity & mortality), low birth weight",,,,Medium,Partially covered,Zero to Finals - Obstetrics
Obstetrics,Preterm labour & Premature Rupture of membrane,,,,Low,Unlikely covered,Zero to Finals - Obstetrics
Obstetrics,Reduced foetal movements,,,,Low,Likely covered,
Obstetrics,Rhesus and ABO incompatibility,,,,Low,Unlikely covered,Zero to Finals - Obstetrics
Obstetrics,Role of Midwife,,,,Low,Unlikely covered,Zero to Finals - Obstetrics
Obstetrics,Small for gestational age,,,,Medium,Likely covered,
